1517876700,__SummaryInfo__,861.278,970.792,1.0
1517876715,__SummaryInfo__,861.278,970.792,1.0
1517876730,__SummaryInfo__,861.278,970.792,1.0
1517876745,__SummaryInfo__,861.278,970.792,1.0
1517876760,__SummaryInfo__,861.278,970.792,1.0
1517876775,__SummaryInfo__,861.278,970.792,1.0
1517876790,__SummaryInfo__,861.278,970.792,1.0
1517876805,__SummaryInfo__,861.278,970.792,1.0
1517876820,__SummaryInfo__,861.278,970.792,1.0
1517876835,__SummaryInfo__,861.278,970.792,1.0
1517876850,__SummaryInfo__,861.278,970.792,1.0
1517876865,__SummaryInfo__,861.278,970.792,1.0
1517876880,__SummaryInfo__,861.278,970.792,1.0
1517876895,__SummaryInfo__,861.278,970.792,1.0
1517876910,__SummaryInfo__,861.2778,970.792,1.0
1517876925,__SummaryInfo__,861.277,970.792,1.0
1517876940,__SummaryInfo__,861.277,970.792,1.0
1517876955,__SummaryInfo__,861.277,970.792,1.0
1517876970,__SummaryInfo__,861.277,970.792,1.0
1517876985,__SummaryInfo__,861.277,970.792,1.0
1517877000,__SummaryInfo__,861.277,970.792,1.0
1517877015,__SummaryInfo__,861.277,970.792,1.0
1517877030,__SummaryInfo__,861.277,970.792,1.0
1517877045,__SummaryInfo__,861.277,970.792,1.0
1517877060,__SummaryInfo__,861.277,970.792,1.0
1517877075,__SummaryInfo__,861.277,970.792,1.0
1517877090,__SummaryInfo__,861.276733333,970.792,1.0
1517877105,__SummaryInfo__,861.276,970.792,1.0
1517877120,__SummaryInfo__,861.276,970.792,1.0
1517877135,__SummaryInfo__,861.276,970.792,1.0
1517877150,__SummaryInfo__,861.276,970.792,1.0
1517877165,__SummaryInfo__,861.276,970.792,1.0
1517877180,__SummaryInfo__,861.276,970.792,1.0
1517877195,__SummaryInfo__,861.276,970.792,1.0
1517877210,__SummaryInfo__,861.276,970.792,1.0
1517877225,__SummaryInfo__,861.276,970.792,1.0
1517877240,__SummaryInfo__,861.276,970.792,1.0
1517877255,__SummaryInfo__,861.276,970.792,1.0
1517877270,__SummaryInfo__,861.276,970.792,1.0
1517877285,__SummaryInfo__,861.276,970.792,1.0
1517877300,__SummaryInfo__,861.276,970.792,1.0
1517877315,__SummaryInfo__,861.276,970.792,1.0
1517877330,__SummaryInfo__,861.276,970.792,1.0
