1517074125,localhost,0.0,0.0,0.0,0.0
1517074140,localhost,0.94,0.564,77.128,84.576
1517074155,localhost,4.7,2.82,385.64,422.88
1517074170,localhost,4.7,2.82,385.64,422.88
1517074185,localhost,4.7,2.82,385.64,422.88
1517074200,localhost,4.7,2.82,385.64,422.88
1517074215,localhost,4.7,2.82,385.64,422.88
1517074230,localhost,4.7,2.82,385.64,422.88
1517074245,localhost,4.7,2.82,385.64,422.88
1517074260,localhost,4.7,2.82,385.64,422.88
1517074275,localhost,4.7,2.82,385.64,422.88
1517074290,localhost,4.7,2.82,385.64,422.88
1517074305,localhost,4.7,2.82,385.64,422.88
1517074320,localhost,4.7,2.82,385.64,422.88
1517074335,localhost,4.7,2.82,385.64,422.88
1517074350,localhost,4.7,2.82,385.64,422.88
1517074365,localhost,4.7,2.82,385.64,422.88
1517074380,localhost,4.7,2.82,385.64,422.88
1517074395,localhost,4.7,2.82,385.64,422.88
1517074410,localhost,4.7,2.82,385.64,422.88
1517074425,localhost,4.7,2.82,385.64,422.88
1517074440,localhost,4.42533333333,2.674,362.600666667,420.511333333
1517074455,localhost,0.58,0.63,40.05,387.35
1517074470,localhost,0.58,0.63,40.05,387.35
1517074485,localhost,0.58,0.63,40.05,387.35
1517074500,localhost,0.58,0.63,40.05,387.35
1517074515,localhost,0.58,0.63,40.05,387.35
1517074530,localhost,0.58,0.63,40.05,387.35
1517074545,localhost,0.58,0.63,40.05,387.35
1517074560,localhost,0.58,0.63,40.05,387.35
1517074575,localhost,0.58,0.63,40.05,387.35
1517074590,localhost,0.58,0.63,40.05,387.35
1517074605,localhost,0.58,0.63,40.05,387.35
1517074620,localhost,0.58,0.63,40.05,387.35
1517074635,localhost,0.58,0.63,40.05,387.35
1517074650,localhost,0.58,0.63,40.05,387.35
1517074665,localhost,0.58,0.63,40.05,387.35
1517074680,localhost,0.58,0.63,40.05,387.35
1517074695,localhost,0.58,0.63,40.05,387.35
1517074710,localhost,0.58,0.63,40.05,387.35
1517074725,localhost,0.58,0.63,40.05,387.35
1517074740,localhost,0.617333333333,0.928666666667,41.1606666667,750.435333333
1517074755,localhost,0.62,0.95,41.24,776.37
1517074770,localhost,0.62,0.95,41.24,776.37
1517074785,localhost,0.62,0.95,41.24,776.37
1517074800,localhost,0.62,0.95,41.24,776.37
1517074815,localhost,0.62,0.95,41.24,776.37
1517074830,localhost,0.62,0.95,41.24,776.37
1517074845,localhost,0.62,0.95,41.24,776.37
1517074860,localhost,0.62,0.95,41.24,776.37
1517074875,localhost,0.62,0.95,41.24,776.37
1517074890,localhost,0.62,0.95,41.24,776.37
1517074905,localhost,0.62,0.95,41.24,776.37
1517074920,localhost,0.62,0.95,41.24,776.37
1517074935,localhost,0.62,0.95,41.24,776.37
1517074950,localhost,0.62,0.95,41.24,776.37
1517074965,localhost,0.62,0.95,41.24,776.37
1517074980,localhost,0.62,0.95,41.24,776.37
1517074995,localhost,0.62,0.95,41.24,776.37
1517075010,localhost,0.62,0.95,41.24,776.37
1517075025,localhost,0.62,0.95,41.24,776.37
1517075040,localhost,1.15533333333,1.24333333333,77.2173333333,671.723333333
1517075055,localhost,1.35,1.35,90.3,633.67
1517075070,localhost,1.35,1.35,90.3,633.67
1517075085,localhost,1.35,1.35,90.3,633.67
1517075100,localhost,1.35,1.35,90.3,633.67
1517075115,localhost,1.35,1.35,90.3,633.67
1517075130,localhost,1.35,1.35,90.3,633.67
1517075145,localhost,1.35,1.35,90.3,633.67
1517075160,localhost,1.35,1.35,90.3,633.67
1517075175,localhost,1.35,1.35,90.3,633.67
1517075190,localhost,1.35,1.35,90.3,633.67
1517075205,localhost,1.35,1.35,90.3,633.67
